date,close
01-Mar-10,101
13-Apr-10,203
14-May-10,307
15-Jun-10,412
16-Jul-10,517
17-Aug-10,624
18-Sep-10,733
19-Oct-10,842
20-Sep-10,953
21-Dec-10,1065
01-Jan-11,1178
01-Feb-11,1293
02-Mar-11,1409
03-Apr-11,1526
04-May-11,1644
05-Jun-11,1764
06-Jul-11,1886
07-Aug-11,2008
08-Sep-11,2132
31-Oct-11,2258
01-Nov-11,2385
02-Dec-11,2513
01-Jan-12,2643
01-Feb-12,2774
01-Mar-12,2907
13-Apr-12,3041
14-May-12,3177
15-Jun-12,3314
16-Jul-12,3453
17-Aug-12,3594
18-Sep-12,3736
19-Oct-12,3880
20-Sep-12,4025
21-Dec-12,4172
01-Jan-13,4321
01-Feb-13,4471
02-Mar-13,4623
03-Apr-13,4777
04-May-13,4933
05-Jun-13,5090
06-Jul-13,5250
07-Aug-13,5411
08-Sep-13,5573
31-Oct-13,5738
01-Nov-13,5905
02-Dec-13,6073
03-Jan-14,6244
04-Feb-14,6416
05-Mar-14,6590
06-Apr-14,6767
07-May-14,6945
08-Jun-14,7125
09-Jul-14,7308
10-Aug-14,7492
11-Sep-14,7679
12-Oct-14,7867
13-Nov-14,8058
14-Dec-14,8251
07-Jan-15,8447
08-Feb-15,8644
09-Mar-15,8700
10-Apr-15,8856
