No,date,Portfolio return,DepositReturn,Portfolioreturn,
1,31-May-08,-0.03,0.69,-2.74,
2,30-Jun-08,-0.11,0.69,-10.95,
3,31-Jul-08,0.02,0.69,2.21,
4,31-Aug-08,0.00,0.69,0.46,
5,30-Sep-08,-0.10,0.69,-10.39,
6,31-Oct-08,-0.17,0.69,-16.79,
7,30-Nov-08,-0.06,0.69,-5.98,
8,31-Dec-08,0.07,0.69,6.58,
9,31-Jan-09,-0.07,0.69,-7.43,
10,28-Feb-09,-0.02,0.69,-1.63,
11,28-Mar-09,0.03,0.69,3.49,
12,30-Apr-09,0.08,0.69,8.15,
13,31-May-09,0.28,0.69,27.83,
14,29-Jun-09,0.02,0.69,2.09,
15,31-Jul-09,0.05,0.69,5.41,
16,30-Aug-09,0.04,0.69,4.15,
17,29-Sep-09,0.03,0.69,3.41,
18,31-Oct-09,-0.01,0.69,-1.33,
19,29-Nov-09,0.04,0.69,3.61,
20,31-Dec-09,0.05,0.69,4.59,
21,31-Jan-10,-0.03,0.69,-2.5,
22,28-Feb-10,-0.01,0.69,-0.75,
23,31-Mar-10,0.05,0.69,4.72,
24,30-Apr-10,0.01,0.69,1.45,
25,30-May-10,-0.03,0.69,-2.54,
26,30-Jun-10,0.04,0.69,4.45,
27,31-Jul-10,0.02,0.69,1.76,
28,30-Aug-10,0.01,0.69,1.47,
29,30-Sep-10,0.03,0.69,3.46,
30,31-Oct-10,0.01,0.69,1.11,
31,30-Nov-10,-0.03,0.69,-2.63,
32,31-Dec-10,0.01,0.69,0.64,31
33,31-Jan-11,-0.08,0.69,-7.71,
34,28-Feb-11,-0.03,0.69,-3.06,
35,31-Mar-11,0.06,0.69,5.8,
36,30-Apr-11,0.02,0.69,2.45,
37,31-May-11,-0.01,0.69,-1.41,
38,30-Jun-11,0.01,0.69,0.71,
39,31-Jul-11,0.01,0.69,0.67,
40,31-Aug-11,-0.05,0.69,-4.98,
41,30-Sep-11,0.00,0.69,-0.19,
42,31-Oct-11,0.02,0.69,2.05,
43,30-Nov-11,-0.05,0.69,-4.55,
44,31-Dec-11,-0.04,0.69,-4.42,
45,31-Jan-12,0.08,0.69,8.01,
46,29-Feb-12,0.05,0.69,4.61,
47,31-Mar-12,0.00,0.69,-0.24,
48,30-Apr-12,0.00,0.69,0.25,
49,31-May-12,-0.02,0.69,-2.44,
50,30-Jun-12,0.03,0.69,2.55,
51,31-Jul-12,0.02,0.69,2.28,
52,31-Aug-12,0.02,0.69,1.99,
53,30-Sep-12,0.05,0.69,4.57,
54,31-Oct-12,-0.01,0.69,-0.51,
55,30-Nov-12,0.04,0.69,4.1,
56,31-Dec-12,0.00,0.69,0.47,
57,31-Jan-13,0.00,0.69,-0.05,
58,28-Feb-13,-0.04,0.69,-3.92,
59,28-Mar-13,-0.01,0.69,-0.95,
60,27-Apr-13,0.02,0.69,2.26,
61,31-May-13,0.02,0.69,2.47,
62,30-Jun-13,-0.02,0.69,-1.52,
63,31-Jul-13,-0.03,0.69,-2.76,
64,31-Aug-13,-0.03,0.69,-2.68,
65,30-Sep-13,0.06,0.69,5.93,
66,31-Oct-13,0.06,0.69,5.96,
67,30-Nov-13,-0.01,0.69,-0.51,
68,31-Dec-13,0.05,0.69,4.57,
69,31-Jan-14,-0.03,0.69,-2.73,
70,28-Feb-14,0.04,0.69,3.6,
71,30-Mar-14,0.04,0.69,4.29,
72,30-Apr-14,0.02,0.69,1.92,
73,31-May-14,0.09,0.69,8.89,
74,30-Jun-14,0.07,0.69,7.19,
75,31-Jul-14,0.01,0.69,0.93,
76,28-Aug-14,0.03,0.69,3.19,
77,30-Sep-14,0.03,0.69,3.12,
78,31-Oct-14,0.03,0.69,2.97,
79,30-Nov-14,0.04,0.69,4.32,
80,31-Dec-14,0.02,0.69,1.62,
81,31-Jan-15,0.05,0.69,5.26,
82,28-Feb-15,0.00,0.69,-0.49,
83,31-Mar-15,0.02,0.69,1.62,
84,30-Apr-15,-0.03,0.69,-2.66,
85,31-May-15,0.03,0.69,2.93,
86,30-Jun-15,0.02,0.69,2,
