Point,"Actual
Investment",Best,Median,Worst,FD
1,1,1.26,1.01,0.92,1.01
2,2,2.75,2.03,1.82,2.02
3,3,4.44,3.07,2.73,3.04
4,4,6.13,4.12,3.63,4.06
5,5,7.84,5.17,4.53,5.09
6,6,9.56,6.24,5.44,6.13
7,7,11.33,7.33,6.31,7.17
8,8,13.22,8.42,7.14,8.22
9,9,15.44,9.53,8,9.27
10,10,17.63,10.65,8.86,10.34
11,11,19.9,11.78,9.77,11.4
12,12,22.26,12.93,10.69,12.48
13,13,24.57,14.09,11.55,13.56
14,14,27.22,15.26,12.39,14.65
15,15,29.78,16.44,13.37,15.74
16,16,32.16,17.64,14.3,16.84
17,17,34.44,18.86,15.34,17.95
18,18,36.61,20.08,16.15,19.06
19,19,38.96,21.32,17.01,20.18
20,20,41.52,22.58,17.9,21.31
21,21,44.53,23.85,18.81,22.44
22,22,47.66,25.13,19.68,23.58
23,23,50.82,26.43,20.55,24.73
24,24,54.02,27.74,21.46,25.89
25,25,57.53,29.07,22.42,27.05
26,26,61.02,30.41,23.41,28.22
27,27,64.28,31.77,24.52,29.39
28,28,67.79,33.14,25.56,30.57
29,29,71.16,34.53,26.57,31.76
30,30,74.53,35.94,27.36,32.96
31,31,77.95,37.36,28.43,34.16
32,32,81.43,38.8,29.49,35.37
33,33,84.73,40.25,30.29,36.59
34,34,88.32,41.72,31.11,37.82
35,35,91.68,43.21,31.97,39.05
36,36,95.24,44.71,32.85,40.29
37,37,99,46.23,33.76,41.54
38,38,102.69,47.77,35.08,42.79
39,39,106.44,49.33,36.22,44.06
40,40,110.06,50.9,37.33,45.33
41,41,105.31,52.5,38.37,46.6
42,42,92.21,54.11,39.36,47.89
43,43,94.92,55.73,40.53,49.18
44,44,96.97,57.38,41.72,50.48
45,45,100.28,59.05,43.23,51.79
46,46,103.49,60.73,44.7,53.11
47,47,96.08,62.44,45.78,54.44
48,48,95.64,64.16,47.06,55.77
49,49,99.55,65.9,48.1,57.11
50,50,103.19,67.67,49.02,58.46
51,51,107.12,69.45,50.15,59.81
52,52,110.89,71.25,51.31,61.18
53,53,114.66,73.08,52.54,62.55
54,54,118.49,74.92,53.73,63.93
55,55,122.39,76.79,54.83,65.32
56,56,126.08,78.67,55.92,66.72
57,57,130.1,80.58,57.01,68.13
58,58,133.85,82.51,58.05,69.54
59,59,137.83,84.47,59.1,70.96
60,60,142.04,86.44,60.23,72.4
